,Area,Bairro,CEP,Cidade,DataAtualizacaoHumanizada,Endereco,Estado,FormatarSubTipoImovel,FormatarSubTipoOferta,Latitude,Longitude,PrecoCondominio,QuantidadeQuartos,QuantidadeSuites,QuantidadeVagas,SubTipo,SubTipoOferta,Tipo,UrlFicha,Valor,ValorIPTU,DataAtualizacaoEmDias,PrecoPorMetro
0,80,Cabeçudas,88306460,Itajaí,há 24 dias,Rua Cônsul Carlos Renaux,SC,APARTAMENTO EM CABEÇUDAS,Apartamento em CabeçudasApartamento em Cabeçudas para aluguel,-26.9274691,-48.6351312,487.0,2,2,2,2,Apartamento em Cabeçudas,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-cabecudas-itajai-sc-80m2-id-2453705054?paginaoferta=1,2250.0,100.0,24,28.125
1,35,Fazenda,88302260,Itajaí,há 2 dias,Rua Emílio da Cruz Coutinho,SC,APARTAMENTO EM FAZENDA,Apartamento em FazendaApartamento em Fazenda para aluguel,-26.915555,-48.6569906,230.0,1,0,0,2,Apartamento em Fazenda,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-1-quarto-fazenda-itajai-sc-35m2-id-2449867802?paginaoferta=1,500.0,14.0,2,14.285714285714286
2,150,São Judas,,Itajaí,há 3 dias,Joaquim Falco Uriarte,SC,GALPÃO/DEPÓSITO/ARMAZÉM EM SÃO JUDAS,Galpão/Depósito/Armazém em São JudasGalpão/Depósito/Armazém em São Judas para aluguel,0.0,0.0,0.0,0,0,0,1,Galpão/Depósito/Armazém em São Judas,1,http://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-s-judas-itajai-sc-150m2-id-2454656282?paginaoferta=123,2500.0,50.0,3,16.666666666666668
3,2,Cordeiros,88311710,Itajaí,há 13 dias,Rua Francisco Reis,SC,INDÚSTRIA EM CORDEIROS,Indústria em CordeirosIndústria em Cordeiros para aluguel,0.0,0.0,0.0,0,0,15,1,Indústria em Cordeiros,1,http://www.zapimoveis.com.br/imovel/aluguel-industria-cordeiros-itajai-sc-2m2-id-2453677016?paginaoferta=125,30000.0,7840.0,13,15000.0
4,50,Praia Brava,88306806,Itajaí,há 17 dias,Rua Delfim Mário Pádua Peixoto,SC,CONJUNTO COMERCIAL/SALA EM PRAIA BRAVA,Conjunto Comercial/Sala em Praia BravaConjunto Comercial/Sala em Praia Brava para aluguel,-26.9536138,-48.6311791,0.0,0,0,0,5,Conjunto Comercial/Sala em Praia Brava,1,http://www.zapimoveis.com.br/imovel/aluguel-conjunto-comercial-sala-praia-brava-itajai-sc-50m2-id-2443265281?paginaoferta=125,5000.0,0.0,17,100.0
5,180,Centro,88301320,Itajaí,há 17 dias,Rua Samuel Heusi,SC,APARTAMENTO EM CENTRO,Apartamento em CentroApartamento em Centro para aluguel,-26.903326,-48.6592567,1300.0,4,1,2,1,Apartamento em Centro,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-4-quartos-com-piscina-centro-itajai-sc-180m2-id-2224015715?paginaoferta=120,2650.0,170.0,17,14.722222222222221
6,180,Carvalho,88307610,Itajaí,há 2 dias,Rua Otávio Muller,SC,CASA EM CARVALHO,Casa em CarvalhoCasa em Carvalho para aluguel,-26.931926,-48.687869,0.0,3,2,2,1,Casa em Carvalho,1,http://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-churrasqueira-carvalho-itajai-sc-180m2-id-2455955511?paginaoferta=111,2600.0,135.0,2,14.444444444444445
7,950,Ressacada,,Itajaí,há 2 dias,Endereço Não Informado,SC,GALPÃO/DEPÓSITO/ARMAZÉM EM RESSACADA,Galpão/Depósito/Armazém em RessacadaGalpão/Depósito/Armazém em Ressacada para aluguel,0.0,0.0,0.0,0,0,8,1,Galpão/Depósito/Armazém em Ressacada,1,http://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem--ressacada-itajai-sc-950m2-id-2447444677?paginaoferta=107,14000.0,3000.0,2,14.736842105263158
8,66,Cordeiros,88310640,Itajaí,há 16 dias,Rua José Rosa,SC,APARTAMENTO EM CORDEIROS,Apartamento em CordeirosApartamento em Cordeiros para aluguel,-26.890341,-48.703063,0.0,2,1,1,1,Apartamento em Cordeiros,1,http://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-cordeiros-itajai-sc-66m2-id-2454647914?paginaoferta=103,1950.0,0.0,16,29.545454545454547
9,463,Fazenda,88301201,Itajaí,há 17 dias,Avenida Sete de Setembro,SC,CONJUNTO COMERCIAL/SALA EM FAZENDA,Conjunto Comercial/Sala em FazendaConjunto Comercial/Sala em Fazenda para aluguel,-26.9124869,-48.6570812,0.0,0,0,5,5,Conjunto Comercial/Sala em Fazenda,1,http://www.zapimoveis.com.br/imovel/aluguel-conjunto-comercial-sala-fazenda-itajai-sc-463m2-id-2439015588?paginaoferta=99,17000.0,215.0,17,36.7170626349892
